Text,Class
"Dear Friend,Congratulations! You have won a free gift. Claim it now!",spam
"Hello, just checking in. How are you doing today?",not spam
"Get rich quick! Invest now and watch your fortune grow!",spam
"Hi there, this is a friendly reminder about your meeting tomorrow.",not spam
"Free trial offer: sign up now and receive a free gift!",spam
"Please confirm your order details and secure your purchase now.",spam
"Your password has been reset. Please follow the instructions to change your password.",not spam
"Want to save big on your next purchase? Click here for exclusive deals!",spam
"Important notice: your account has been temporarily suspended.",not spam
"Hi, I'm interested in learning more about your product. Can you tell me more?",not spam